month,expected_net,revenue,cash,ar_days,bill_lag_days,idr,denial_writeoff,bad_debt,underpayment_leak,charge_leak,labor_cost,ot_cost,total_cost,one_time_cost,scenario_run_cost,pxi,cxi,fte_total,total_touches,auto_touches,denied_claims,appealed_claims,payer_pressure
16,838080000.0000,838080000.0000,838080000.0000,49.7610,7.0000,0.1150,19748098.0800,16593984.0000,3771360.0000,6285600.0000,13436250.0000,0.0000,22790416.6667,0.0000,0.0000,56.8121,69.6850,2510.0000,3092038.0740,554077.0254,108780.0000,10475.5140,0.0000
17,838080000.0000,838080000.0000,838080000.0000,49.7610,7.0000,0.1150,19748098.0800,16593984.0000,3771360.0000,6285600.0000,13436250.0000,0.0000,22790416.6667,0.0000,0.0000,56.8121,69.6850,2510.0000,3092038.0740,554077.0254,108780.0000,10475.5140,0.0000
18,838080000.0000,838080000.0000,838080000.0000,49.7610,7.0000,0.1150,19748098.0800,16593984.0000,3771360.0000,6285600.0000,13436250.0000,0.0000,22790416.6667,0.0000,0.0000,56.8121,69.6850,2510.0000,3092038.0740,554077.0254,108780.0000,10475.5140,0.0000
19,838080000.0000,838080000.0000,838080000.0000,49.7610,7.0000,0.1150,19748098.0800,16593984.0000,3771360.0000,6285600.0000,13436250.0000,0.0000,22790416.6667,0.0000,0.0000,56.8121,69.6850,2510.0000,3092038.0740,554077.0254,108780.0000,10475.5140,0.0000
20,838080000.0000,838080000.0000,838080000.0000,49.7610,7.0000,0.1150,19748098.0800,16593984.0000,3771360.0000,6285600.0000,13436250.0000,0.0000,22790416.6667,0.0000,0.0000,56.8121,69.6850,2510.0000,3092038.0740,554077.0254,108780.0000,10475.5140,0.0000
21,838080000.0000,838080000.0000,838080000.0000,49.7610,7.0000,0.1150,19748098.0800,16593984.0000,3771360.0000,6285600.0000,13436250.0000,0.0000,22790416.6667,0.0000,0.0000,56.8121,69.6850,2510.0000,3092038.0740,554077.0254,108780.0000,10475.5140,0.0000
22,838080000.0000,838080000.0000,838080000.0000,49.7610,7.0000,0.1150,19748098.0800,16593984.0000,3771360.0000,6285600.0000,13436250.0000,0.0000,22790416.6667,0.0000,0.0000,56.8121,69.6850,2510.0000,3092038.0740,554077.0254,108780.0000,10475.5140,0.0000
23,838080000.0000,838080000.0000,838080000.0000,49.7610,7.0000,0.1150,19748098.0800,16593984.0000,3771360.0000,6285600.0000,13436250.0000,0.0000,22790416.6667,0.0000,0.0000,56.8121,69.6850,2510.0000,3092038.0740,554077.0254,108780.0000,10475.5140,0.0000
24,838080000.0000,838080000.0000,838080000.0000,49.7610,7.0000,0.1150,19748098.0800,16593984.0000,3771360.0000,6285600.0000,13436250.0000,0.0000,22790416.6667,0.0000,0.0000,56.8121,69.6850,2510.0000,3092038.0740,554077.0254,108780.0000,10475.5140,0.0000
25,838080000.0000,838080000.0000,838080000.0000,49.7610,7.0000,0.1150,19748098.0800,16593984.0000,3771360.0000,6285600.0000,13436250.0000,0.0000,22790416.6667,0.0000,0.0000,56.8121,69.6850,2510.0000,3092038.0740,554077.0254,108780.0000,10475.5140,0.0000
26,838080000.0000,838080000.0000,838080000.0000,49.7610,7.0000,0.1150,19748098.0800,16593984.0000,3771360.0000,6285600.0000,13436250.0000,0.0000,22790416.6667,0.0000,0.0000,56.8121,69.6850,2510.0000,3092038.0740,554077.0254,108780.0000,10475.5140,0.0000
27,838080000.0000,838080000.0000,838080000.0000,49.7610,7.0000,0.1150,19748098.0800,16593984.0000,3771360.0000,6285600.0000,13436250.0000,0.0000,22790416.6667,0.0000,0.0000,56.8121,69.6850,2510.0000,3092038.0740,554077.0254,108780.0000,10475.5140,0.0000
28,838080000.0000,838080000.0000,838080000.0000,49.7610,7.0000,0.1150,19748098.0800,16593984.0000,3771360.0000,6285600.0000,13436250.0000,0.0000,22790416.6667,0.0000,0.0000,56.8121,69.6850,2510.0000,3092038.0740,554077.0254,108780.0000,10475.5140,0.0000
29,838080000.0000,838080000.0000,838080000.0000,49.7610,7.0000,0.1150,19748098.0800,16593984.0000,3771360.0000,6285600.0000,13436250.0000,0.0000,22790416.6667,0.0000,0.0000,56.8121,69.6850,2510.0000,3092038.0740,554077.0254,108780.0000,10475.5140,0.0000
30,838080000.0000,838080000.0000,838080000.0000,49.7610,7.0000,0.1150,19748098.0800,16593984.0000,3771360.0000,6285600.0000,13436250.0000,0.0000,22790416.6667,0.0000,0.0000,56.8121,69.6850,2510.0000,3092038.0740,554077.0254,108780.0000,10475.5140,0.0000
31,838080000.0000,838080000.0000,838080000.0000,49.7610,7.0000,0.1150,19748098.0800,16593984.0000,3771360.0000,6285600.0000,13436250.0000,0.0000,22790416.6667,0.0000,0.0000,56.8121,69.6850,2510.0000,3092038.0740,554077.0254,108780.0000,10475.5140,0.0000
32,838080000.0000,838080000.0000,838080000.0000,49.7610,7.0000,0.1150,19748098.0800,16593984.0000,3771360.0000,6285600.0000,13436250.0000,0.0000,22790416.6667,0.0000,0.0000,56.8121,69.6850,2510.0000,3092038.0740,554077.0254,108780.0000,10475.5140,0.0000
33,838080000.0000,838080000.0000,838080000.0000,49.7610,7.0000,0.1150,19748098.0800,16593984.0000,3771360.0000,6285600.0000,13436250.0000,0.0000,22790416.6667,0.0000,0.0000,56.8121,69.6850,2510.0000,3092038.0740,554077.0254,108780.0000,10475.5140,0.0000
34,838080000.0000,838080000.0000,838080000.0000,49.7610,7.0000,0.1150,19748098.0800,16593984.0000,3771360.0000,6285600.0000,13436250.0000,0.0000,22790416.6667,0.0000,0.0000,56.8121,69.6850,2510.0000,3092038.0740,554077.0254,108780.0000,10475.5140,0.0000
35,838080000.0000,838080000.0000,838080000.0000,49.7610,7.0000,0.1150,19748098.0800,16593984.0000,3771360.0000,6285600.0000,13436250.0000,0.0000,22790416.6667,0.0000,0.0000,56.8121,69.6850,2510.0000,3092038.0740,554077.0254,108780.0000,10475.5140,0.0000
36,838080000.0000,838080000.0000,838080000.0000,49.7610,7.0000,0.1150,19748098.0800,16593984.0000,3771360.0000,6285600.0000,13436250.0000,0.0000,22790416.6667,0.0000,0.0000,56.8121,69.6850,2510.0000,3092038.0740,554077.0254,108780.0000,10475.5140,0.0000
