uc_id,domain,disposition,a0_a1_start,gaps,value_yr_base,value_y1,option,build,run_yr,tco_3yr_alloc,net_yr,payback_months,roi_3yr
UC-05-03,Coding,CONDITIONAL,yes,governance 1->2,240000,60000,api,96000,103959,437616,130336,10,0.07
UC-05-04,Coding,CONDITIONAL,yes,governance 1->2,128272,32068,build_rules,123200,35494,235743,91263,16,0.06
UC-05-05,Coding,CONDITIONAL,yes,workflow 2->3; governance 1->2,115200,28800,build_ml,184800,133984,620599,-25221,,-0.64
UC-05-06,Coding,CONDITIONAL,,data 3->4; governance 1->2; qa_history (partial),69120,17280,build_ml,115200,42414,276289,20268,77,-0.51
UC-06-03,Claims,CONDITIONAL,,data 3->4; workflow 2->3; governance 1->2; denial_labels (partial),458427,114607,build_ml,184800,70401,429849,381589,6,1.08
UC-06-04,Claims,CONDITIONAL,yes,workflow 2->3; governance 1->2,278529,69632,build_rules,143200,115800,496661,161213,11,0.09
UC-06-06,Claims,CONDITIONAL,yes,workflow 2->3; governance 1->2; filing_matrix (partial),343820,85955,build_rules,123200,75506,355778,266799,6,0.88
UC-06-07,Claims,CONDITIONAL,,data 3->4; governance 1->2; attachment_channels (partial),294967,73742,build_ml,204800,89175,506172,199354,13,0.14
UC-07-02,Payments,CONDITIONAL,,data 3->4; governance 1->2; denial_taxonomy (partial),84000,21000,api,154000,43571,314451,34724,58,-0.48
UC-07-04,Payments,CONDITIONAL,yes,governance 1->2,92160,23040,build_ml,184800,102566,526346,-16844,,-0.66
UC-07-05,Payments,CONDITIONAL,,workflow 2->3; governance 1->2; contract_engine_loaded (partial),2000000,500000,build_rules,123200,77741,362484,1920744,1,9.76
UC-08-04,Denials & Appeals,CONDITIONAL,,workflow 2->3; governance 1->2; touch_logging (partial),103075,25769,build_ml,115200,64482,342491,32156,48,-0.41
UC-08-05,Denials & Appeals,CONDITIONAL,,data 3->4; workflow 2->3; governance 1->2; routing_authority (partial); denial_labels (partial),1146067,286517,api,154000,83649,434687,1056713,2,4.14
UC-09-03,AR Management,CONDITIONAL,,workflow 2->3; governance 1->2; contract_engine_loaded (partial),1600000,400000,build_ml,184800,61424,402919,1532138,2,6.74
UC-09-06,AR Management,CONDITIONAL,,data 3->4; workflow 2->3; governance 1->2; legal 1->2; placement_gates (partial),230640,57660,build_ml,184800,70401,429849,153802,16,0.05
UC-10-07,Patient Financial Svcs,CONDITIONAL,yes,connectivity 2->3; governance 1->2; legal 1->2; agency_data_rights (partial),480000,120000,vendor,46200,84898,351811,389397,2,1.66
UC-10-08,Patient Financial Svcs,CONDITIONAL,,governance 1->2; legal 1->2; gfe_stored (partial),40000,10000,build_rules,76800,23894,154543,14591,64,-0.5
UC-11-02,Contracting,CONDITIONAL,,governance 1->2; contract_repository (partial),400000,100000,api,96000,14818,170192,379477,3,3.58
UC-11-04,Contracting,CONDITIONAL,,connectivity 2->3; workflow 2->3; governance 1->2; legal 1->2; provider_master (partial); portal_automation_permitted (partial),537135,134284,vendor,77400,87971,442321,433568,3,1.37
UC-11-05,Contracting,CONDITIONAL,,data 3->4; governance 1->2; touch_logging (partial),900000,225000,build_ml,184800,55448,384989,838115,3,3.56
UC-12-06,Compliance,CONDITIONAL,,governance 1->2; legal 1->2; privilege_protocol (partial); audit_outcomes (partial),0,0,build_ml,115200,34710,253175,-41147,,-1.0
UC-13-01,Analytics,CONDITIONAL,yes,governance 1->2; kpi_dictionary (partial),96000,24000,api,96000,16963,176630,73331,18,0.06
UC-13-03,Analytics,CONDITIONAL,,data 3->4; governance 1->2,28800,7200,build_ml,115200,34624,252917,-12261,,-0.78
UC-14-01,Master Data & Tech,CONDITIONAL,,data 3->4; workflow 2->3; governance 1->2; denial_labels (partial); masterdata_governance (partial),229213,57303,build_ml,115200,39048,266191,183728,8,0.68
UC-14-02,Master Data & Tech,CONDITIONAL,,governance 1->2; system_copy_extracts (partial),114607,28652,build_rules,76800,19219,140518,93873,10,0.59
UC-14-03,Master Data & Tech,CONDITIONAL,,workflow 2->3; governance 1->2; edi_telemetry (partial),262090,65523,build_ml,115200,34624,252917,221029,7,1.02
UC-14-05,Master Data & Tech,CONDITIONAL,,governance 1->2; touch_logging (partial),48000,12000,build_ml,115200,109364,477138,-67801,,-0.8
UC-14-07,Master Data & Tech,CONDITIONAL,yes,connectivity 2->3; governance 1->2; legal 1->2; agency_data_rights (partial),300000,75000,build_ml,115200,39048,266191,254515,6,1.2
UC-01-01,Patient Access,DEFER,yes,governance 1->3; golden_sets (absent),191407,28711,api,258000,194778,984575,-31577,,-0.7
UC-01-03,Patient Access,DEFER,,governance 1->3; data 3->4; denial_labels (partial); masterdata_governance (partial),382220,0,api,154000,172935,815045,181080,14,-0.34
UC-01-05,Patient Access,DEFER,yes,governance 1->3,1700000,255000,vendor,66200,98996,426447,1594567,1,5.18
UC-01-07,Patient Access,DEFER,yes,governance 1->3; connectivity 2->3; workflow 2->3; legal 1->2; bulletin_access (partial); portal_automation_permitted (partial),687640,103146,build_rules,123200,96165,460612,581389,3,1.31
UC-01-08,Patient Access,DEFER,,fabric (absent); citation_harness (absent); integration 3->4; connectivity 2->3; workflow 2->3; governance 1->2; legal 1->2; auth_transactions (partial); notes_access (partial); portal_automation_permitted (partial),651020,0,api,283000,390601,1604398,233143,18,-0.43
UC-01-09,Patient Access,DEFER,yes,fabric (absent); connectivity 2->3; workflow 2->3; governance 1->2; legal 1->2; portal_automation_permitted (partial),192000,28800,build_rpa,138600,106572,547321,69832,31,-0.46
UC-01-10,Patient Access,DEFER,,governance 1->3; workflow 2->3; auth_structured (partial),458427,0,build_rules,123200,33661,230244,423251,4,1.79
UC-01-12,Patient Access,DEFER,,governance 1->3; data 3->4; legal 1->2; contract_engine_loaded (partial),450000,0,build_ml,339600,154243,836174,289320,15,-0.25
UC-01-13,Patient Access,DEFER,,governance 1->3; clearance_outcomes (absent); data 3->4; workflow 2->3; hitl_capacity (partial),315200,0,build_ml,184800,100322,519613,208440,11,-0.15
UC-01-14,Patient Access,DEFER,yes,legal 1->3; workflow 2->3; governance 1->2; outreach_consent (partial); escalation_staffed (partial),584000,87600,api,283000,310968,1242407,267915,13,-0.27
UC-01-16,Patient Access,DEFER,,governance 1->3; data 3->4; denial_labels (partial),649834,0,build_ml,184800,175126,744025,468270,5,0.22
UC-01-17,Patient Access,DEFER,,legal 1->3; data 3->4; governance 1->2; outreach_consent (partial),60000,0,vendor,28800,79558,322496,-25995,,-0.74
UC-02-01,Utilization Review,DEFER,,governance 1->3; data 3->4,343820,0,build_ml,184800,83491,469121,253892,9,0.03
UC-02-03,Utilization Review,DEFER,yes,governance 1->3; connectivity 2->3; workflow 2->3; legal 1->2; portal_automation_permitted (partial),382813,57422,build_rpa,138600,122591,595380,244626,9,-0.0
UC-02-05,Utilization Review,DEFER,,avoidable_day_taxonomy (absent); governance 1->2; notes_access (partial),46080,0,api,96000,142341,552763,-101966,,-0.88
UC-03-02,Charge Capture,DEFER,yes,governance 1->3; workflow 2->3,300000,45000,build_rules,123200,433153,1428719,-134668,,-0.67
UC-03-03,Charge Capture,DEFER,yes,governance 1->3; workflow 2->3; masterdata_governance (partial),500000,75000,build_rules,123200,91153,402719,407332,4,0.92
UC-03-06,Charge Capture,DEFER,,workflow 2->4; governance 1->3; data 3->4; documentation_stability (partial),1551840,0,api,258000,243406,1017957,1302729,2,1.13
UC-04-03,CDI,DEFER,yes,citation_harness (absent); workflow 2->3; governance 1->2,546080,81912,api,154000,117649,536688,422725,5,0.58
UC-04-04,CDI,DEFER,,governance 1->3; data 3->4; legal 1->2; notes_access (partial); provider_adoption (partial),500000,0,api,258000,192229,864428,302065,11,-0.19
UC-05-01,Coding,DEFER,,governance 1->3; golden_sets (absent); model_monitoring (absent); data 3->4; workflow 2->3; legal 1->2; notes_access (partial),887999,0,api,422000,430182,1742287,452111,12,-0.29
UC-05-02,Coding,DEFER,,governance 1->3; data 3->4; audit_outcomes (partial); hitl_capacity (partial),229213,0,build_ml,184800,79003,455656,143773,17,-0.3
UC-05-07,Coding,DEFER,yes,citation_harness (absent); governance 1->2; legal 1->2; reference_license (partial),148160,22224,api,154000,419307,1484518,-285424,,-0.85
UC-06-01,Claims,DEFER,,governance 1->3; data 3->4; workflow 2->3; denial_labels (partial),916854,0,build_ml,309600,242488,1070910,667929,6,0.2
UC-06-02,Claims,DEFER,yes,governance 1->3; fabric (absent); integration 3->4; workflow 2->3,341392,51209,api,258000,207280,986581,115406,32,-0.46
UC-06-05,Claims,DEFER,yes,governance 1->3; fabric (absent); integration 3->4; workflow 2->3,367453,55118,api,174000,54806,445157,293942,9,0.28
UC-06-08,Claims,DEFER,yes,governance 1->3; workflow 2->3,168592,25289,build_rules,143200,55800,316661,111277,16,-0.17
UC-07-01,Payments,DEFER,yes,governance 1->3; workflow 2->3,436077,65412,vendor,77400,222105,808444,207534,5,-0.16
UC-07-03,Payments,DEFER,yes,governance 1->3; golden_sets (absent),205677,30852,vendor,77400,93305,525497,84166,19,-0.39
UC-07-06,Payments,DEFER,,recoupment_law_matrix (absent); governance 1->2; legal 1->2; takeback_linkage (partial),400000,0,build_rules,123200,31927,225040,366558,4,1.49
UC-08-01,Denials & Appeals,DEFER,yes,governance 1->3; denial_taxonomy (partial),332000,49800,vendor,77400,106223,443455,220072,5,0.16
UC-08-02,Denials & Appeals,DEFER,,governance 1->3; appeal_outcomes (absent); data 3->4; workflow 2->3,433600,0,build_ml,184800,70401,429849,356762,7,0.41
UC-08-03,Denials & Appeals,DEFER,,policy_library (absent); citation_harness (absent); workflow 2->3; governance 1->2; legal 1->2; hitl_capacity (partial); appeal_process (partial),1084000,0,api,447000,217128,1170982,852595,7,0.3
UC-08-06,Denials & Appeals,DEFER,,appeal_outcomes (absent); governance 1->2,140000,0,build_rules,143200,37800,262661,100685,17,-0.25
UC-09-01,AR Management,DEFER,,governance 1->3; ranked_list_adoption (absent); data 3->4; workflow 2->3; org 2->3; touch_logging (partial),717584,0,vendor,77400,247007,899327,464139,2,0.12
UC-09-02,AR Management,DEFER,yes,fabric (absent); workflow 2->3; governance 1->2; legal 1->2; claim_status_edi (partial); portal_automation_permitted (partial),754192,113129,build_rpa,252200,205991,959180,532604,7,0.22
UC-09-04,AR Management,DEFER,,governance 1->3; data 3->4; workflow 2->3; legal 1->2; ap_refund_path (partial),115200,0,vendor,46200,22192,155447,86570,8,0.04
UC-09-05,AR Management,DEFER,yes,external_registries (absent); connectivity 2->3; workflow 2->3; governance 1->2; legal 1->2,90000,13500,vendor,46200,33957,168838,54528,11,-0.17
UC-10-01,Patient Financial Svcs,DEFER,yes,governance 1->3; workflow 2->3; legal 1->2; statement_suppression (partial),255600,38340,build_rules,123200,88918,396014,165167,9,0.0
UC-10-02,Patient Financial Svcs,DEFER,,governance 1->3; legal 1->3; bias_program (absent); data 3->4; statement_vendor_flex (partial); statement_history (partial),460000,0,vendor,46200,257212,882270,196351,4,-0.27
UC-10-03,Patient Financial Svcs,DEFER,yes,governance 1->3; legal 1->3; account_360 (absent); workflow 2->3; plan_matrix_unified (partial); escalation_staffed (partial),628000,94200,api,472000,294565,1382198,328318,18,-0.3
UC-10-04,Patient Financial Svcs,DEFER,,governance 1->3; legal 1->3; bias_program (absent); data 3->4; outreach_consent (partial),340000,0,build_ml,184800,58432,393943,275131,9,0.21
UC-10-05,Patient Financial Svcs,DEFER,,governance 1->4; legal 1->3; bias_program (absent); socio_data_license (absent); data 3->4; workflow 2->3,180000,0,vendor,46200,100428,423682,73135,10,-0.41
UC-10-06,Patient Financial Svcs,DEFER,,governance 1->3; legal 1->3; consents_indexed (absent); workflow 2->3,0,0,build_rules,123200,34376,232390,-35892,,-1.0
UC-11-01,Contracting,DEFER,,citation_harness (absent); governance 1->2; contract_repository (partial),1314607,0,vendor,77400,34174,224662,1274728,1,7.19
UC-11-03,Contracting,DEFER,yes,citation_harness (absent); connectivity 2->3; workflow 2->3; governance 1->2; legal 1->2; routing_authority (partial); bulletin_access (partial),573034,85955,vendor,46200,21670,187407,537087,2,3.74
UC-11-06,Contracting,DEFER,,vbc_data_sharing (absent); data 3->4; governance 1->2; legal 1->2,690000,0,build_ml,184800,55444,384978,628119,4,1.51
UC-12-01,Compliance,DEFER,,governance 1->3; workflow 2->3; legal 1->2; audit_channels_digitized (partial); audit_workflow (partial),0,0,vendor,46200,21730,263040,-49935,,-1.0
UC-12-02,Compliance,DEFER,yes,fabric (absent); integration 3->4; workflow 2->3; governance 1->2; legal 1->2; him_retrieval (partial),48000,7200,api,258000,50904,517451,-21609,,-0.86
UC-12-03,Compliance,DEFER,,peer_benchmarks (absent); governance 1->2; legal 1->2; compliance_charter (partial),0,0,build_ml,184800,55542,385271,-61979,,-1.0
UC-12-04,Compliance,DEFER,yes,governance 1->3; workflow 2->3; legal 1->2; ap_refund_path (partial); audit_workflow (partial),0,0,build_rules,123200,31694,224343,-33209,,-1.0
UC-12-05,Compliance,DEFER,yes,citation_harness (absent); workflow 2->3; governance 1->2; routing_authority (partial),114607,17191,api,154000,29238,314309,71093,31,-0.43
UC-13-02,Analytics,DEFER,,governance 1->3; lineage (absent); data 3->4; legal 1->2,76800,0,build_ml,184800,86858,479219,-16495,,-0.78
UC-13-04,Analytics,DEFER,yes,fabric (absent); integration 3->4; workflow 2->3; governance 1->2; gov_body (partial),28800,4320,build_ml,184800,55504,385157,-33141,,-0.88
UC-14-04,Master Data & Tech,DEFER,yes,fabric (absent); handback_queues (absent); integration 3->4; workflow 2->3; governance 1->2,28800,4320,build_ml,184800,55504,462157,-46141,,-0.9
UC-14-06,Master Data & Tech,DEFER,yes,fabric (absent); integration 3->4; workflow 2->3; governance 1->2; downtime_procedures (partial),216438,32466,build_rules,123200,30804,298672,171119,11,0.12
