uc_id,domain,disposition,a0_a1_start,gaps,value_yr_base,value_y1,option,build,run_yr,tco_3yr_alloc,net_yr,payback_months,roi_3yr
UC-01-03,Patient Access,DEFER,,governance 1->3; data 3->4; denial_labels (partial); masterdata_governance (partial),826172,0,api,154000,382705,1444354,415262,6,-0.2
UC-01-05,Patient Access,DEFER,yes,governance 1->3,4080000,612000,build_ml,204800,150193,689225,3923370,1,8.18
UC-01-07,Patient Access,DEFER,yes,governance 1->3; workflow 2->3; bulletin_access (partial); portal_automation_permitted (partial); masterdata_governance (partial),1485303,222796,build_rules,123200,103675,483144,1371541,1,3.77
UC-01-08,Patient Access,DEFER,,citation_harness (absent); integration 3->4; workflow 2->3; governance 1->2; fabric (partial); notes_access (partial); portal_automation_permitted (partial); policy_library (partial),1410812,0,api,283000,794011,2814631,589524,7,-0.3
UC-01-10,Patient Access,DEFER,yes,governance 1->3; workflow 2->3,990202,148530,build_rules,123200,37667,242261,951020,2,5.34
UC-01-12,Patient Access,DEFER,,governance 1->3; data 3->4; contract_engine_loaded (partial),1080000,0,build_ml,339600,227551,1056098,846012,5,0.43
UC-01-13,Patient Access,DEFER,,governance 1->3; data 3->4; workflow 2->3; clearance_outcomes (partial); hitl_capacity (partial),730560,0,build_ml,184800,163158,708119,560965,4,0.44
UC-01-16,Patient Access,DEFER,,governance 1->3; data 3->4; denial_labels (partial),1404793,0,build_ml,184800,342687,1246707,1055669,2,0.58
UC-02-01,Utilization Review,DEFER,,governance 1->3; data 3->4,742652,0,build_ml,184800,122764,586937,613451,4,0.77
UC-02-03,Utilization Review,DEFER,,governance 1->3; workflow 2->3; portal_automation_permitted (partial); notes_access (partial),829181,0,build_rpa,138600,161709,712733,651876,3,0.63
UC-03-02,Charge Capture,DEFER,yes,governance 1->3; workflow 2->3,720000,108000,build_rules,123200,996447,3118602,-277962,,-0.64
UC-03-03,Charge Capture,DEFER,yes,governance 1->3; workflow 2->3; masterdata_governance (partial),1200000,180000,build_rules,123200,175647,656202,1022838,1,1.83
UC-03-06,Charge Capture,DEFER,,workflow 2->4; governance 1->3; data 3->4; documentation_stability (partial); notes_access (partial); golden_sets (partial),3712752,0,api,258000,529994,1877722,3177053,1,1.77
UC-04-03,CDI,DEFER,,citation_harness (absent); workflow 2->3; governance 1->2; notes_access (partial),1300224,0,api,154000,250019,933795,1044500,2,0.95
UC-04-04,CDI,DEFER,,governance 1->3; data 3->4; notes_access (partial); provider_adoption (partial),1200000,0,api,258000,407171,1509251,787124,4,0.11
UC-05-01,Coding,DEFER,,governance 1->3; data 3->4; workflow 2->3; golden_sets (partial); model_monitoring (partial); notes_access (partial); reference_license (partial),1948171,0,api,422000,943818,3283192,998648,5,-0.17
UC-05-02,Coding,DEFER,,governance 1->3; data 3->4; audit_outcomes (partial); hitl_capacity (partial),495101,0,build_ml,184800,111992,554622,376672,6,0.25
UC-05-07,Coding,DEFER,yes,citation_harness (absent); governance 1->2; reference_license (partial),321408,48211,api,154000,973997,3148588,-666866,,-0.84
UC-06-01,Claims,DEFER,,governance 1->3; data 3->4; workflow 2->3; denial_labels (partial),1980404,0,build_ml,309600,451939,1699263,1522028,3,0.63
UC-06-02,Claims,DEFER,yes,governance 1->3; integration 3->4; workflow 2->3; fabric (partial); golden_sets (partial),761020,114153,api,258000,443293,1694618,299022,12,-0.3
UC-06-05,Claims,DEFER,yes,governance 1->3; integration 3->4; workflow 2->3; fabric (partial); golden_sets (partial),795773,119366,api,174000,94994,565722,682074,4,1.18
UC-06-08,Claims,DEFER,yes,governance 1->3; workflow 2->3,385180,57777,build_rules,143200,83800,400661,299865,6,0.49
UC-07-01,Payments,DEFER,yes,governance 1->3; workflow 2->3,955864,143380,build_ml,309600,469892,1753122,479535,8,-0.15
UC-07-03,Payments,DEFER,yes,governance 1->3; golden_sets (partial),454744,68212,api,258000,133096,799528,293443,13,-0.12
UC-08-01,Denials & Appeals,DEFER,yes,governance 1->3; denial_taxonomy (partial),720000,108000,api,258000,202465,895134,511830,6,0.25
UC-08-02,Denials & Appeals,DEFER,,governance 1->3; data 3->4; workflow 2->3; appeal_outcomes (partial),938880,0,build_ml,184800,91346,492684,841097,3,1.67
UC-08-03,Denials & Appeals,DEFER,,citation_harness (absent); workflow 2->3; governance 1->2; policy_library (partial); hitl_capacity (partial); appeal_process (partial); criteria_license (partial); notes_access (partial); appeal_outcomes (partial),2347200,0,api,447000,427238,1801311,1905685,3,0.82
UC-09-01,AR Management,DEFER,,governance 1->3; data 3->4; workflow 2->3; org 2->3; ranked_list_adoption (partial),1631481,0,build_ml,309600,451939,1699263,1173105,3,0.34
UC-09-04,AR Management,DEFER,,governance 1->3; data 3->4; workflow 2->3; ap_refund_path (partial),250560,0,vendor,46200,50028,251306,194095,4,0.4
UC-09-05,AR Management,DEFER,yes,external_registries (absent); workflow 2->3; governance 1->2,216000,32400,build_rules,123200,36165,237755,178320,8,0.41
UC-10-01,Patient Financial Svcs,DEFER,yes,governance 1->3; workflow 2->3; statement_suppression (partial),589680,88452,build_rules,123200,170282,640108,417882,4,0.43
UC-10-02,Patient Financial Svcs,DEFER,,governance 1->3; bias_program (absent); data 3->4; legal 2->3; statement_vendor_flex (partial); statement_history (partial),1104000,0,build_ml,184800,522216,1785296,575346,4,-0.13
UC-10-03,Patient Financial Svcs,DEFER,yes,governance 1->3; workflow 2->3; legal 2->3; account_360 (partial); escalation_staffed (partial); golden_sets (partial),1388400,208260,api,472000,607835,2322010,775448,7,-0.07
UC-10-04,Patient Financial Svcs,DEFER,,governance 1->3; bias_program (absent); data 3->4; legal 2->3; outreach_consent (partial),816000,0,build_ml,184800,62621,406510,746942,3,1.81
UC-10-05,Patient Financial Svcs,DEFER,,governance 1->4; bias_program (absent); socio_data_license (absent); data 3->4; workflow 2->3; legal 2->3,432000,0,build_ml,184800,87755,481912,337807,7,0.26
UC-10-06,Patient Financial Svcs,DEFER,,governance 1->3; workflow 2->3; legal 2->3; consents_indexed (partial),0,0,build_rules,123200,39384,247411,-40899,,-1.0
UC-11-01,Contracting,DEFER,,citation_harness (absent); governance 1->2; contract_repository (partial),3127551,0,vendor,77400,34174,224662,3087671,0,18.49
UC-11-03,Contracting,DEFER,yes,citation_harness (absent); workflow 2->3; governance 1->2; routing_authority (partial); bulletin_access (partial),1237753,185663,vendor,46200,21670,187407,1201806,1,9.24
UC-12-01,Compliance,DEFER,,governance 1->3; workflow 2->3; audit_channels_digitized (partial); audit_workflow (partial),0,0,vendor,46200,48917,357779,-77122,,-1.0
UC-12-04,Compliance,DEFER,yes,governance 1->3; workflow 2->3; ap_refund_path (partial); audit_workflow (partial),0,0,build_rules,123200,32946,228098,-34461,,-1.0
UC-12-05,Compliance,DEFER,yes,citation_harness (absent); workflow 2->3; governance 1->2; routing_authority (partial),247551,37133,api,154000,29238,314309,204036,11,0.22
UC-13-02,Analytics,DEFER,,governance 1->3; lineage (absent); data 3->4,167040,0,build_ml,184800,130842,611173,29760,80,-0.62
